No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;
256;3,395346;;3,395346;3,397238;0,001892;;0,001144;-0,00606;-0,007204;;;
257;3,397238;;3,397238;3,397986;0,000748;;-0,00606;0,005376;0,011436;;;
258;3,397986;;3,397986;3,404794;0,006808;;0,005376;-0,002242;-0,007618;;;
259;3,404794;;3,404794;3,406226;0,001432;;-0,002242;0,003674;0,005916;;;
260;3,406226;;3,406226;3,4099;0,003674;;0,003674;-0,00015;-0,003824;;;
261;3,4099;;3,4099;3,4099;0;;-0,00015;-0,000172;-2,20E-05;;;
262;3,4099;;3,4099;3,41005;0,00015;;-0,000172;-0,000773;-0,000601;;;
263;3,41005;;3,41005;3,410372;0,000322;;-0,000773;-0,000684;8,90E-05;;;
264;3,410372;;3,410372;3,411467;0,001095;;-0,000684;0,001478;0,002162;;;
265;3,411467;;3,411467;3,413246;0,001779;;0,001478;-0,00343;-0,004908;;;
266;3,413246;;3,413246;3,413547;0,000301;;-0,00343;0,000759;0,004189;;;
267;3,413547;;3,413547;3,417278;0,003731;;0,000759;-0,001038;-0,001797;;;
268;3,417278;;3,417278;3,42025;0,002972;;-0,001038;0,003724;0,004762;;;
269;3,42025;;3,42025;3,42426;0,00401;;0,003724;-0,002937;-0,006661;;;
270;3,42426;;3,42426;3,424546;0,000286;;-0,002937;0,002037;0,004974;;;
271;3,424546;;3,424546;3,427769;0,003223;;0,002037;0,001186;-0,000851;;;
272;3,427769;;3,427769;3,428955;0,001186;;0,001186;-0,001465;-0,002651;;;
273;3,428955;;3,428955;3,428955;0;;-0,001465;-0,003283;-0,001818;;;
274;3,428955;;3,428955;3,43042;0,001465;;-0,003283;0,004476;0,007759;;;
275;3,43042;;3,43042;3,435168;0,004748;;0,004476;-0,000692;-0,005168;;;
276;3,435168;;3,435168;3,43544;0,000272;;-0,000692;0,000964;0,001656;;;
277;3,43544;;3,43544;3,436404;0,000964;;0,000964;-0,001675;-0,002639;;;
278;3,436404;;3,436404;3,436404;0;;-0,001675;0,001478;0,003153;;;
279;3,436404;;3,436404;3,438079;0,001675;;0,001478;-0,002168;-0,003646;;;
280;3,438079;;3,438079;3,438276;0,000197;;-0,002168;0,000427;0,002595;;;
281;3,438276;;3,438276;3,440641;0,002365;;0,000427;0,000753;0,000326;;;
282;3,440641;;3,440641;3,442579;0,001938;;0,000753;-0,001169;-0,001922;;;
283;3,442579;;3,442579;3,443764;0,001185;;-0,001169;0,002354;0,003523;;;
284;3,443764;;3,443764;3,446118;0,002354;;0,002354;-0,002267;-0,004621;;;
285;3,446118;;3,446118;3,446118;0;;-0,002267;0,001098;0,003365;;;
286;3,446118;;3,446118;3,448385;0,002267;;0,001098;-7,60E-05;-0,001174;;;
287;3,448385;;3,448385;3,449554;0,001169;;-7,60E-05;-0,00171;-0,001634;;;
288;3,449554;;3,449554;3,450799;0,001245;;-0,00171;0,002527;0,004237;;;
289;3,450799;;3,450799;3,453754;0,002955;;0,002527;-0,00011;-0,002637;;;
290;3,453754;;3,453754;3,454182;0,000428;;-0,00011;-0,00131;-0,0012;;;
291;3,454182;;3,454182;3,45472;0,000538;;-0,00131;-0,000524;0,000786;;;
292;3,45472;;3,45472;3,456568;0,001848;;-0,000524;0,001028;0,001552;;;
293;3,456568;;3,456568;3,45894;0,002372;;0,001028;0,00084;-0,000188;;;
294;3,45894;;3,45894;3,460284;0,001344;;0,00084;-0,003644;-0,004484;;;
295;3,460284;;3,460284;3,460788;0,000504;;-0,003644;0,003175;0,006819;;;
296;3,460788;;3,460788;3,464936;0,004148;;0,003175;-0,001564;-0,004739;;;
